latitude1,longitude1,supervision_level,states,lgas,ward,settlement name,hf_name,latitude2,longitude2,meta/instanceID
6.63780276,3.28354596,temporary_post,Lagos,Alimosho,Agbelekale,Peter odeyale,Agbelekale phc,6.63776526,3.28352096,uuid:a6e263cd-c63c-4090-9d8c-7631affb3af9
5.2663692,7.5463107,temporary_post,Abia,Obi Nwga,Mgboko umuanunu2,Umuopara egbelu village,Mgboko okengwa hc,5.2663385,7.5463594,uuid:2ff51140-6187-459d-9c33-a198a168597b
6.9251217,5.7694567,temporary_post,Ondo,Ose,Ifon2,Obanigba,B. H. C obanigba ST. Michael Pry. School. ,6.9251567,5.7693467,uuid:f5fefdec-c96f-4e5a-a1a2-73063915b922
5.7180096,7.5595841,temporary_post,Abia,Isuikwuato,Imenyi II ,Ahaba Ehuma,Ahaba HC,5.7180692,7.5595983,uuid:37db01a5-9daf-4995-b583-eb496316b697
7.28275,6.255901667,temporary_post,Edo,Akoko-Edo,Uneme,Erhurhu,Nil,7.282713333,6.255901667,uuid:62e72867-e541-4ab9-a4ff-47ecebea2eae
7.9500873,3.613917,temporary_post,Oyo,Iseyin,Ekunle 1,Barracks Area,Touch nearer Nursery and Pry School,7.9500986,3.613847,uuid:02469b16-606f-40d6-a5c0-85758ff0669f
5.3353493,7.1482338,temporary_post,Imo,Ngor-Okpala,Ngor,Community primary school,Umuokeke HC,5.3355678,7.1482239,uuid:1db8feb6-fd15-4b9e-9aef-275c0acfde5d
6.47909483,7.95172754,temporary_post,Ebonyi,Ohaukwu,Ishingbo 1,Ndoke/ejirike,Ekwashi MDGS,6.47908216,7.95164743,uuid:61a96e61-5eec-4f5e-8964-b8fc6d671659
7.1911076,5.5802505,temporary_post,Ondo,Owo,Ehinogbe ,Okerantry , B H C Ehinogbe ,7.191052,5.580012,uuid:90722dfa-4667-43eb-8cba-b9f7dd7ec78e
7.5761045,5.6732871,temporary_post,Ondo,Akoko North West,Okeirun/surulere,Okease,BHC Okeoro,7.5761846,5.6732962,uuid:9407d0b7-3a2d-4c64-883b-dd0fabc0c42b
5.5198367,7.48945,temporary_post,Abia,Umuahia North,Urban 1,Umuobasi,Isiama Afara,5.5202581,7.4893054,uuid:6ad31a86-ae49-4708-91f5-e7a30de06a1d
6.0485956,7.7505462,temporary_post,Ebonyi,Ohaozara,Umuagwuoke,Onure,Nill,6.0480275,7.7511861,uuid:f08058bf-175c-4c70-a9c3-e9ff6cc3f0b5
8.545245,3.448838333,temporary_post,Oyo,Atisbo,Obada,Oke Sunna,PHC Obada,8.545343333,3.44875,uuid:2499249a-be6d-44f3-98e2-74855843513b
7.6453,4.284228333,temporary_post,Osun,Ayedire,Amobi,Idi odan,Amobi H/C,7.645035,4.28436,uuid:ef9004bc-fb33-4874-aaaf-b3ec494cae11
7.644888333,4.284351667,temporary_post,Osun,Ayedire,Amobi,Oke owu,Amobi H/C,7.647456667,4.287813333,uuid:84e76f12-c183-4a30-b38c-60dfb77063ef
7.647425,4.287803333,temporary_post,Osun,Ayedire,Isale,Isale Oba,Isale Oba H./C,7.642563333,4.279251667,uuid:84da8d15-cb4e-465e-81b4-fcdf5be6e403
6.0964516,7.0066433,temporary_post,Anambra,Anaocha,Neni 2,Ezekeudo,Phc umuabani,6.0964516,7.0066433,uuid:efb8c08c-7d42-409e-9467-b8e4c6d5918e
6.1001817,7.0253909,temporary_post,Anambra,Anaocha,Adazi Nnukwu 1,Eke Adazi,Phc Adazi Nnukwu 1,6.100028,7.0248389,uuid:39b13c5e-51a1-46f7-98d0-116f7d3e0d1b
7.3336372,5.563187,temporary_post,Ondo,Owo,USO/Emure ile ward,Ihima camp,BHC eporo owo,7.3341639,5.5633915,uuid:b31832a8-281f-4983-ac78-6c69a60e8224
7.155195,6.767958333,temporary_post,Kogi,Kogi,Ajaka 1,Okpachala,PHC,7.155191667,6.768021667,uuid:3a0c9a5a-bd38-499b-96c7-89c051379588
6.4446437,7.3047418,temporary_post,Enugu,Ezeagu,Oghe1,Amankwo imezi ,Akama oghe ,6.4446076,7.3047685,uuid:78f5bc0b-011d-4881-bb4c-a409b4251a01
5.5192617,7.4895002,temporary_post,Abia,Umuahia North,Urban 1,Umuobasi,Isiama Afara,5.5198411,7.4894319,uuid:d306ab57-843b-4eda-aea3-f3d4d59eb3a5
7.2094601,4.867035,temporary_post,Ondo,Owo,Ipele,Jege,Primary school,7.1323436,5.6729112,uuid:bb64296a-9ce6-47c4-b8c5-7394f8bc0913
7.3707349,5.7262435,temporary_post,Ondo,Akoko South West,Oba1,Oketere,Temporary post,7.4548005,5.8029299,uuid:76292e74-6724-41b6-ba23-4b9de396d1b9
7.2999048,5.8534817,temporary_post,Ondo,Ose,Idoani 1,Oludosi,B H C IDOANI,7.302403,5.8570096,uuid:86de86d9-b348-47a7-a391-89c1e522d9aa
6.9250712,5.7739884,temporary_post,Ondo,Ose,Ijagba,Ayede,BHC Ijagba,6.9235905,5.774001,uuid:8e3e002e-dcd3-4854-95eb-678232dd1ee2
